City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kulhudhuffushi,6.6221,73.07,301.09,74,100,2.62,MV,1695163659
84,alice springs,-23.7,133.8833,295.9,18,21,2.06,AU,1695163659
85,san luis de la loma,17.2706,-100.8939,302.59,76,21,2.6,MX,1695163659
86,sarmiento,-45.5882,-69.07,279.56,43,61,1.86,AR,1695163659
87,jeddah,21.5169,39.2192,307.07,27,20,3.6,SA,1695163660
88,kokomo,40.4864,-86.1336,296.59,52,0,2.06,US,1695163660
89,puerto ayora,-0.7393,-90.3518,301.13,92,73,2.24,EC,1695163660
90,invercargill,-46.4,168.35,294.83,44,49,9.39,NZ,1695163660
91,chonchi,-42.6128,-73.8092,281.71,82,44,1.76,CL,1695163660
92,ketchikan,55.3422,-131.6461,286.41,88,100,1.54,US,1695163661
93,saudarkrokur,65.7461,-19.6394,279.68,80,100,6.56,IS,1695163661
94,olonkinbyen,70.9221,-8.7187,277.48,73,78,7.35,SJ,1695163661
95,bandipura,34.4167,74.65,289.44,82,0,1.87,IN,1695163661
96,nogliki,51.8333,143.1667,280.38,81,100,10.65,RU,1695163662
97,mount pearl,47.5166,-52.7813,287.77,97,100,5.14,CA,1695163662
98,solnechnyy,50.7214,136.6319,277.38,88,100,2.67,RU,1695163662
99,burang,30.25,81.1667,281.24,81,64,0.93,CN,1695163662
100,san patricio,28.017,-97.5169,307.34,41,0,6.03,US,1695163663
101,olinda,-8.0089,-34.8553,300.0,78,75,6.69,BR,1695163514
102,rojhan,28.6868,69.9534,302.49,67,13,5.51,PK,1695163663
103,utrik,11.2278,169.8474,301.85,75,99,6.92,MH,1695163663
104,kyren,51.6828,102.1408,280.68,74,65,0.73,RU,1695163664
105,puerto armuelles,8.2833,-82.8667,300.42,72,69,0.45,PA,1695163664
106,zakynthos,37.7914,20.8953,296.28,71,31,0.33,GR,1695163572
107,taguatinga,-12.3857,-46.5711,305.48,18,41,3.4,BR,1695163664
108,lihue,21.9789,-159.3672,302.73,68,20,7.2,US,1695163664
109,nadym,65.5333,72.5167,279.82,75,96,7.69,RU,1695163665
110,gore,-46.1028,168.9436,293.7,40,57,5.9,NZ,1695163665
111,hithadhoo,-0.6,73.0833,300.93,78,92,5.69,MV,1695163665
112,nemuro,43.3236,145.575,291.82,83,100,5.39,JP,1695163665
113,kuje,8.8796,7.2272,297.38,83,20,1.03,NG,1695163666
114,egilsstadir,65.2653,-14.3948,279.1,87,100,10.29,IS,1695163666
115,kingston,17.997,-76.7936,304.68,79,40,9.77,JM,1695163666
116,meridian,43.6121,-116.3915,296.77,29,0,5.14,US,1695163540
117,badger,64.8,-147.5333,282.08,73,75,0.89,US,1695163666
118,san antonio de pale,-1.4014,5.6325,297.74,83,70,4.38,GQ,1695163667
119,charters towers,-20.1,146.2667,296.52,62,74,4.22,AU,1695163667
120,enewetak,11.3474,162.3373,299.12,85,100,4.05,MH,1695163667
121,ushuaia,-54.8,-68.3,276.96,75,75,10.29,AR,1695163459
122,ballina,-28.8667,153.5667,295.81,57,2,3.3,AU,1695163668
123,palmer,42.1584,-72.3287,292.51,66,33,0.89,US,1695163668
124,punta arenas,-53.15,-70.9167,277.21,70,75,11.83,CL,1695163669
125,susuman,62.7833,148.1667,274.4,93,100,4.21,RU,1695163669
126,bredasdorp,-34.5322,20.0403,286.12,68,50,9.49,ZA,1695163669
127,sao felix do xingu,-6.6447,-51.995,301.03,49,66,1.62,BR,1695163669
128,ta`u,-14.2336,-169.5144,299.02,68,99,10.94,AS,1695163670
129,lebu,-37.6167,-73.65,282.97,74,100,8.65,CL,1695163670
130,rogers park,61.1981,-149.8492,286.39,64,0,2.06,US,1695163670
131,portland,45.5234,-122.6762,297.56,43,20,2.68,US,1695163081
132,fort st. john,56.2499,-120.8529,286.09,44,75,1.54,CA,1695163632
133,cockburn town,21.4612,-71.1419,302.3,74,4,7.19,TC,1695163671
134,arauca,7.0847,-70.7591,296.13,100,40,1.54,CO,1695163671
135,irymple,-34.25,142.1667,289.87,68,0,0.89,AU,1695163671
136,dudinka,69.4058,86.1778,276.83,84,100,11.99,RU,1695163672
137,tarko-sale,64.9225,77.785,280.93,90,55,6.71,RU,1695163672
138,mount gambier,-37.8333,140.7667,283.84,63,98,5.38,AU,1695163672
139,ribeira grande,38.5167,-28.7,296.36,93,53,7.55,PT,1695163672
140,aioun,16.6614,-9.6149,304.57,45,87,5.41,MR,1695163673
141,neiafu,-18.65,-173.9833,297.53,60,75,5.66,TO,1695163673
142,remire-montjoly,4.9167,-52.2667,300.17,83,20,0.0,GF,1695163673
143,shimoda,34.6667,138.95,300.99,83,58,6.25,JP,1695163673
144,vila franca do campo,37.7167,-25.4333,295.38,99,96,4.4,PT,1695163674
145,thinadhoo,0.5333,72.9333,300.99,77,98,5.36,MV,1695163674
146,talara,-4.5772,-81.2719,297.57,73,0,7.27,PE,1695163674
147,yarmouth,41.7057,-70.2286,294.41,72,0,7.6,US,1695163386
148,uturoa,-16.7333,-151.4333,297.54,73,95,8.97,PF,1695163674
149,homer,59.6425,-151.5483,285.24,63,0,3.09,US,1695163675
150,swift current,50.2834,-107.8014,290.6,29,0,3.6,CA,1695163675
151,bucerias,20.75,-105.3333,305.92,74,35,2.83,MX,1695163668
152,avarua,-21.2078,-159.775,297.18,53,100,2.57,CK,1695163675
153,neelankarai,12.9455,80.2575,301.5,89,40,3.09,IN,1695163675
154,pola de lena,43.1609,-5.8288,289.28,86,28,1.38,ES,1695163676
155,muzaffargarh,30.0754,71.1921,301.16,72,1,2.43,PK,1695163445
156,margaret river,-33.95,115.0667,286.74,60,100,2.13,AU,1695163676
157,hamilton,39.1834,-84.5333,298.44,44,0,3.09,US,1695163432
158,constantia,44.1833,28.65,289.65,67,73,3.63,RO,1695163676
159,taveta,-3.3963,37.6736,293.04,82,25,1.9,KE,1695163677
160,tura,25.5198,90.2201,296.13,95,100,1.87,IN,1695163677
161,weno,7.4515,151.8468,300.12,89,100,0.0,FM,1695163677
162,sitka,57.0531,-135.33,288.09,67,20,6.17,US,1695163677
